State,ClintonCount,TrumpCount,OtherCount,ClintonShare,TrumpShare,OtherShare,D12Margin,D16Margin,Shift,Turnout12,Turnout16,MarginShift
Alabama,"729,547","1,318,255","75,570",34.40%,62.10%,3.60%,-22.20%,-27.70%,-5.50%,"2,074,338","2,123,372",2.40%
Alaska,"116,454","163,387","38,767",36.60%,51.30%,12.20%,-14.00%,-14.70%,-0.70%,"300,495","318,608",6.00%
Arizona,"1,161,167","1,252,401","159,597",45.10%,48.70%,6.20%,-9.10%,-3.50%,5.50%,"2,299,254","2,573,165",11.90%
Arkansas,"380,494","684,872","65,269",33.70%,60.60%,5.80%,-23.70%,-26.90%,-3.20%,"1,069,468","1,130,635",5.70%
California,"8,753,788","4,483,810","943,997",61.70%,31.60%,6.70%,23.10%,30.10%,7.00%,"13,038,547","14,181,595",8.80%
Colorado,"1,338,870","1,202,484","238,866",48.20%,43.30%,8.60%,5.40%,4.90%,-0.50%,"2,569,521","2,780,220",8.20%
Connecticut,"897,572","673,215","74,133",54.60%,40.90%,4.50%,17.30%,13.60%,-3.70%,"1,558,114","1,644,920",5.60%
Delaware,"235,603","185,127","20,860",53.40%,41.90%,4.70%,18.60%,11.40%,-7.20%,"413,890","441,590",6.70%
District of Columbia,"282,830","12,723","15,715",90.90%,4.10%,5.00%,83.60%,86.80%,3.10%,"293,764","311,268",6.00%
Florida,"4,504,975","4,617,886","297,178",47.80%,49.00%,3.20%,0.90%,-1.20%,-2.10%,"8,474,179","9,420,039",11.20%
Georgia,"1,877,963","2,089,104","125,306",45.90%,51.00%,3.10%,-7.80%,-5.20%,2.70%,"3,900,050","4,092,373",4.90%
Hawaii,"266,891","128,847","33,199",62.20%,30.00%,7.70%,42.70%,32.20%,-10.50%,"434,697","428,937",-1.30%
Idaho,"189,765","409,055","91,435",27.50%,59.30%,13.20%,-31.90%,-31.80%,0.10%,"652,274","690,255",5.80%
Illinois,"3,090,729","2,146,015","299,680",55.80%,38.80%,5.40%,16.90%,17.10%,0.20%,"5,242,014","5,536,424",5.60%
Indiana,"1,033,126","1,557,286","144,546",37.80%,56.90%,5.30%,-10.20%,-19.20%,-9.00%,"2,624,534","2,734,958",4.20%
Iowa,"653,669","800,983","111,379",41.70%,51.10%,7.10%,5.80%,-9.40%,-15.20%,"1,582,180","1,566,031",-1.00%
Kansas,"427,005","671,018","86,379",36.10%,56.70%,7.30%,-21.70%,-20.60%,1.10%,"1,159,971","1,184,402",2.10%
Kentucky,"628,854","1,202,971","92,324",32.70%,62.50%,4.80%,-22.70%,-29.80%,-7.10%,"1,797,212","1,924,149",7.10%
Louisiana,"780,154","1,178,638","70,240",38.40%,58.10%,3.50%,-17.20%,-19.60%,-2.40%,"1,994,065","2,029,032",1.80%
Maine,"357,735","335,593","54,599",47.80%,44.90%,7.30%,15.30%,3.00%,-12.30%,"713,180","747,927",4.90%
Maryland,"1,677,928","943,169","160,349",60.30%,33.90%,5.80%,26.10%,26.40%,0.30%,"2,707,327","2,781,446",2.70%
Massachusetts,"1,995,196","1,090,893","238,957",60.00%,32.80%,7.20%,23.10%,27.20%,4.10%,"3,167,767","3,325,046",5.00%
Michigan,"2,268,839","2,279,543","250,902",47.30%,47.50%,5.20%,9.50%,-0.20%,-9.70%,"4,730,961","4,799,284",1.40%
Minnesota,"1,367,716","1,322,951","254,146",46.40%,44.90%,8.60%,7.70%,1.50%,-6.20%,"2,936,561","2,944,813",0.30%
Mississippi,"485,131","700,714","23,512",40.10%,57.90%,1.90%,-11.50%,-17.80%,-6.30%,"1,285,584","1,209,357",-5.90%
Missouri,"1,071,068","1,594,511","143,026",38.10%,56.80%,5.10%,-9.40%,-18.60%,-9.30%,"2,757,323","2,808,605",1.90%
Montana,"177,709","279,240","40,198",35.70%,56.20%,8.10%,-13.70%,-20.40%,-6.80%,"484,048","497,147",2.70%
Nebraska,"284,494","495,961","63,772",33.70%,58.70%,7.60%,-21.80%,-25.00%,-3.30%,"794,379","844,227",6.30%
Nevada,"539,260","512,058","74,067",47.90%,45.50%,6.60%,6.70%,2.40%,-4.30%,"1,014,918","1,125,385",10.90%
New Hampshire,"348,526","345,790","49,842",46.80%,46.50%,6.70%,5.60%,0.40%,-5.20%,"710,972","744,158",4.70%
New Jersey,"2,148,278","1,601,933","123,835",55.50%,41.40%,3.20%,17.80%,14.10%,-3.70%,"3,640,292","3,874,046",6.40%
New Mexico,"385,234","319,666","93,418",48.30%,40.00%,11.70%,10.10%,8.20%,-1.90%,"783,758","798,318",1.90%
New York,"4,556,124","2,819,534","345,795",59.00%,36.50%,4.50%,28.20%,22.50%,-5.70%,"7,072,083","7,721,453",9.20%
North Carolina,"2,189,316","2,362,631","189,617",46.20%,49.80%,4.00%,-2.00%,-3.70%,-1.60%,"4,505,372","4,741,564",5.20%
North Dakota,"93,758","216,794","33,808",27.20%,63.00%,9.80%,-19.60%,-35.70%,-16.10%,"322,932","344,360",6.60%
Ohio,"2,394,164","2,841,005","261,318",43.60%,51.70%,4.80%,3.00%,-8.10%,-11.10%,"5,580,840","5,496,487",-1.50%
Oklahoma,"420,375","949,136","83,481",28.90%,65.30%,5.70%,-33.50%,-36.40%,-2.80%,"1,334,872","1,452,992",8.80%
Oregon,"1,002,106","782,403","216,827",50.10%,39.10%,10.80%,12.10%,11.00%,-1.10%,"1,789,270","2,001,336",11.90%
Pennsylvania,"2,926,441","2,970,733","218,228",47.90%,48.60%,3.60%,5.40%,-0.70%,-6.10%,"5,753,546","6,115,402",6.30%
Rhode Island,"252,525","180,543","31,076",54.40%,38.90%,6.70%,27.50%,15.50%,-11.90%,"446,049","464,144",4.10%
South Carolina,"855,373","1,155,389","92,265",40.70%,54.90%,4.40%,-10.50%,-14.30%,-3.80%,"1,964,118","2,103,027",7.10%
South Dakota,"117,458","227,721","24,914",31.70%,61.50%,6.70%,-18.00%,-29.80%,-11.80%,"363,815","370,093",1.70%
Tennessee,"870,695","1,522,925","114,407",34.70%,60.70%,4.60%,-20.40%,-26.00%,-5.60%,"2,458,577","2,508,027",2.00%
Texas,"3,877,868","4,685,047","406,311",43.20%,52.20%,4.50%,-15.80%,-9.00%,6.80%,"7,993,851","8,969,226",12.20%
Utah,"310,676","515,231","305,523",27.50%,45.50%,27.00%,-48.00%,-18.10%,30.00%,"1,017,440","1,131,430",11.20%
Vermont,"178,573","95,369","41,125",56.70%,30.30%,13.10%,35.60%,26.40%,-9.20%,"299,290","315,067",5.30%
Virginia,"1,981,473","1,769,443","231,836",49.80%,44.40%,5.80%,3.90%,5.30%,1.50%,"3,854,489","3,982,752",3.30%
Washington,"1,742,718","1,221,747","401,179",51.80%,36.30%,11.90%,14.90%,15.50%,0.60%,"3,125,516","3,365,644",7.70%
West Virginia,"188,794","489,371","34,886",26.50%,68.60%,4.90%,-26.80%,-42.20%,-15.40%,"670,438","713,051",6.40%
Wisconsin,"1,382,536","1,405,284","188,330",46.50%,47.20%,6.30%,6.90%,-0.80%,-7.70%,"3,068,434","2,976,150",-3.00%
Wyoming,"55,973","174,419","25,457",21.90%,68.20%,10.00%,-40.80%,-46.30%,-5.50%,"249,061","255,849",2.70%
